TYPE (g - grad/u - undergrad/b - both),school,years,url
u,northcentralmissouri,18-19,https://www.ncmissouri.edu/academics/wp-content/uploads/sites/2/2018/06/2018-19-Final-Version-ADA-Compliant.pdf
u,northcentralmissouri,19-20,https://www.ncmissouri.edu/academics/wp-content/uploads/sites/2/2019/06/College-Catalog-2019-2020.pdf
u,northwestern,16-17,https://www.registrar.northwestern.edu/documents/registration/catalog-archive/2016-17_NU_Undergraduate_Catalog.pdf
u,northwestern,17-18,https://www.registrar.northwestern.edu/documents/registration/catalog-archive/2017-18_NU_Undergraduate_Catalog.pdf
u,northwestern,18-19,https://www.registrar.northwestern.edu/documents/registration/catalog-archive/2018-2019_undergraduate_catalog.pdf
u,northwestern,19-20,https://catalogs.northwestern.edu/pdf/2019-2020-undergraduate.pdf
g,northwestern,19-20,https://catalogs.northwestern.edu/pdf/2019-2020-tgs.pdf
u,notredamecollege,19-20,https://www.notredamecollege.edu/wp-content/uploads/2020/05/2019-2020-Undergraduate-Catalog-5.4.2020.pdf
u,notredamecollege,20-21,https://www.notredamecollege.edu/wp-content/uploads/2020/06/2020-2021-Undergraduate-Catalog-6.18.2020.pdf
g,notredamecollege,19-20,https://www.notredamecollege.edu/wp-content/uploads/2020/05/Graduate_Catalog_-2019-2020-as-of-3.26.19.pdf
g,notredamecollege,20-21,https://www.notredamecollege.edu/wp-content/uploads/2020/05/Graduate-Catalog-2020-2021.pdf
u,pepperdine,16-17,https://seaver.pepperdine.edu/academics/content/2016seavercatalog.pdf
u,pepperdine,17-18,https://seaver.pepperdine.edu/academics/content/2017seavercatalog.pdf
u,pepperdine,18-19,https://seaver.pepperdine.edu/academics/content/2018seavercatalog.pdf
u,pepperdine,19-20,https://seaver.pepperdine.edu/academics/content/2019-seaver-catalog.pdf
u,pepperdine,20-21,https://seaver.pepperdine.edu/academics/content/2020-seaver-catalog.pdf
u,pittsburgh,16-17,https://catalog.upp.pitt.edu/mime/media/5/3331/2016-2017+UGRD+Catalog.pdf
g,pittsburgh,16-17,https://catalog.upp.pitt.edu/mime/media/6/3330/2016-2017+GRAD+Catalog.pdf
u,pittsburgh,17-18,https://catalog.upp.pitt.edu/mime/media/72/3922/2017-2018+UGRD+Catalog.pdf
g,pittsburgh,17-18,https://catalog.upp.pitt.edu/mime/media/73/3924/2017-2018+GRAD+Catalog1.pdf
u,pittsburgh,18-19,https://catalog.upp.pitt.edu/mime/media/132/4422/2018-2019+Undergraduate+Catalog.pdf
g,pittsburgh,18-19,https://catalog.upp.pitt.edu/mime/media/136/4423/2018-2019+Graduate-Professional+Studies+Catalog.pdf
u,pittsburgh,19-20,https://catalog.upp.pitt.edu/mime/media/170/4772/2019-2020+Undergraduate+Catalog.pdf
g,pittsburgh,19-20,https://catalog.upp.pitt.edu/mime/media/171/4773/2019-2020+Graduate+%26+Professional+Studies+Catalog.pdf
u,purdue,17-18,http://catalog.purdue.edu/mime/media/8/3232/2017-18+Courses.pdf
u,purdue,19-20,https://catalog.purdue.edu/mime/media/10/4069/Courses.pdf
u,regis,16-17,https://www.regis.edu/_documents/academics/catalogs/RegisAcademicCatalog_2016-2017.pdf
u,regis,17-18,https://www.regis.edu/_documents/academics/catalogs/RegisAcademicCatalog_2017-2018.pdf
u,regis,18-19,https://www.regis.edu/_documents/academics/catalogs/RegisAcademicCatalog_2018-2019.pdf
u,regis,19-20,https://www.regis.edu/_documents/academics/catalogs/RegisAcademicCatalog_2019-2020.pdf
u,rosemont,17-18,https://www.rosemont.edu/_resources/site-pdfs/registrar/academic_catalogs/2017-2018_academic_catalog.pdf
u,rosemont,18-19,https://www.rosemont.edu/_resources/site-pdfs/registrar/2018-2019/2018-2019-academic.catalog.pdf
u,rosemont,19-20,https://www.rosemont.edu/academics/registrar/2019-2020-academic-catalog.pdf
u,sagu,16-17,https://www.sagu.edu/documents/Academics/Catalogs/Undergraduate%20Catalogs/2016-2017%20Undergraduate%20Catalog/Undergrad_Catalog_Web.pdf
g,sagu,16-17,https://www.sagu.edu/documents/Academics/Catalogs/Graduate%20Catalogs/2016-2017%20Graduate%20Catalog/Grad_Catalog_Web.pdf
u,sagu,17-18,https://www.sagu.edu/documents/Academics/Catalogs/Undergraduate%20Catalogs/2017-2018%20Undergraduate%20Catalog/Undergrad_Catalog_Web.pdf
g,sagu,17-18,https://www.sagu.edu/documents/Academics/Catalogs/Graduate%20Catalogs/2017-2018%20Graduate%20Catalog/Grad_Catalog_Web.pdf
u,sagu,18-19,https://www.sagu.edu/documents/Academics/Catalogs/Undergraduate%20Catalogs/2018-2019%20Undergraduate%20Catalog/Undergrad_Catalog_Web_2018.pdf
g,sagu,18-19,https://www.sagu.edu/documents/Academics/Catalogs/Graduate%20Catalogs/2018-2019%20Graduate%20Catalog/Grad_Catalog_Web_2018.pdf
u,sagu,19-20,https://www.sagu.edu/documents/Academics/Catalogs/Undergraduate%20Catalogs/2019-2020%20Undergraduate%20Catalog/Undergrad_Catalog_Web_2019.pdf
g,sagu,19-20,https://www.sagu.edu/documents/Academics/Catalogs/Graduate%20Catalogs/2019-2020%20Graduate%20Catalog/Grad_Catalog_Web_2019.pdf
u,sagu,20-21,https://www.sagu.edu/documents/Academics/Catalogs/Undergraduate%20Catalogs/2020-2021%20Undergraduate%20Catalog/UndergraduateCatalog_2021_FINAL.pdf
g,sagu,20-21,https://www.sagu.edu/documents/Academics/Catalogs/Graduate%20Catalogs/2020-2021%20Graduate%20Catalog/GraduateCatalog_2021_FINAL.pdf
u,saintxavier,16-17,https://www.sxu.edu/catalog/_resources/documents/undergraduate-catalog-2016-17.pdf
g,saintxavier,16-17,https://www.sxu.edu/catalog/_resources/documents/graduate-catalog-2016-17.pdf
u,saintxavier,17-18,https://www.sxu.edu/catalog/_resources/documents/undergraduate-catalog-2017-18.pdf
g,saintxavier,17-18,https://www.sxu.edu/catalog/_resources/documents/graduate-catalog-2017-18.pdf
u,saintxavier,18-19,https://www.sxu.edu/catalog/_resources/documents/undergraduate-catalog-2018-19.pdf
g,saintxavier,18-19,https://www.sxu.edu/catalog/_resources/documents/graduate-catalog-2018-19.pdf
u,saintxavier,19-20,https://www.sxu.edu/catalog/_resources/documents/undergraduate-catalog-2019-20.pdf
g,saintxavier,19-20,https://www.sxu.edu/catalog/_resources/documents/graduate-catalog-2019-20.pdf
u,sewanee,16-17,http://e-catalog.sewanee.edu/arts-sciences-archives/2016-17_College_Catalog.pdf
u,sewanee,17-18,http://e-catalog.sewanee.edu/arts-sciences-archives/2017-18_College_Catalog.pdf
u,sewanee,18-19,http://e-catalog.sewanee.edu/pdf/2018-2019_ArtsAndSciences.pdf
u,sewanee,19-20,http://e-catalog.sewanee.edu/pdf/2019-2020_ArtsAndSciences.pdf
u,smith,16-17,https://catalog.smith.edu/catalog_docs/SmithCatalogue2016-17.pdf
u,smith,17-18,https://catalog.smith.edu/catalog_docs/SmithCatalogue2017-18.pdf
u,smith,18-19,https://catalog.smith.edu/catalog_docs/SmithCatalogue2018-19.pdf
b,smith,19-20,https://catalog.smith.edu/catalog_docs/SmithCatalogue2019-20.pdf
u,southernmethodist,16-17,https://www.smu.edu/-/media/Site/catalog/PDF/UGrad/2016/2016-2017-SMU-Undergraduate-Catalog.pdf?la=en
u,southernmethodist,17-18,https://www.smu.edu/-/media/Site/catalog/PDF/UGrad/2017/Undergraduate-Catalog.pdf?la=en
u,southernmethodist,18-19,https://www.smu.edu/-/media/Site/catalog/PDF/UGrad/2018/Undergraduate-Catalog-2018-2019.pdf?la=en
g,southernmethodist,18-19,https://www.smu.edu/-/media/Site/catalog/PDF/Grad/2018/Graduate-Catalog-2018-2019.pdf?la=en
u,southernmethodist,19-20,https://www.smu.edu/-/media/Site/catalog/PDF/UGrad/2019/20192020-Undergraduate-Catalog-Final-82019.pdf?la=en
g,southernmethodist,19-20,https://www.smu.edu/-/media/Site/catalog/PDF/Grad/2019/20192020-Graduate-Catalog-Final-91919.pdf?la=en
u,southwestbaptist,17-18,https://www.sbuniv.edu/_resources/documents/catalog/catalog17-18.pdf
u,southwestbaptist,18-19,https://www.sbuniv.edu/_resources/documents/catalog/catalog18-19.pdf
u,southwestbaptist,19-20,https://www.sbuniv.edu/_resources/documents/catalog/undergrad-catalog.pdf
g,southwestbaptist,19-20,https://www.sbuniv.edu/_resources/documents/catalog/grad-catalog.pdf
b,stanford,19-20,https://exploredegrees.stanford.edu/pdf/2019-20.pdf
u,swarthmore,16-17,https://www.swarthmore.edu/sites/default/files/assets/documents/registrar/2016-2017.pdf
u,swarthmore,17-18,https://www.swarthmore.edu/sites/default/files/assets/documents/registrar/2017-2018.pdf
u,swarthmore,18-19,https://www.swarthmore.edu/sites/default/files/assets/documents/registrar/2018-2019_Catalog.pdf
u,swarthmore,19-20,https://www.swarthmore.edu/sites/default/files/assets/documents/registrar/2019-2020_Catalog.pdf
